PU Version	PU Hash	PU Version ClassB	PU Hash ClassB	MU Version	MU Hash	MU Version ClassB	MU Hash ClassB	UI Version	UI Hash	UI Version ClassB	UI Hash ClassB	WiFi Version	WiFi Hash	WiFi Version ClassB	WiFi Hash ClassB	HW PMCU Version	HW UI Version	HW VarCode
'02.01.08	'C67383B7	'02.00.02	'469639AA	'05.05.05	'7331326238356330	'00.28.00	'8091DD2600000000	'02.00.23	'FFFFFFFFFFFFFFFF	'00.28.00	'8091DD2600000000	'00.00.00	'0000000000000000	'/	'FFFFFFFFFFFFFF0D	'00.08.00	'00.00.00	'905442_08
Time	Rel Time	Aqua Stop	Valve Hot	Valve Cold 1	Valve Cold 2	Valve Ads Switch	Air Pump	Drain Pump	Jet Circulation Pump	Ads Piston Pump	Heater	Drum Light	Door Closed	Door Lock	Relay Closed	AirDry Fan	Ionizer	Nemo Present	Aqua Stop Sen	Autodose Read Switch1 Sen	Autodose Read Switch2 Sen	NTC Raw Sen[mV]	NTC Sen[Cel]	Pressure Raw Sen[Hz]	Pressure Water Level Sen[mm]	Motor Rotating Direction	Motor Speed[rpm]	Motor Ramp[rpm/s]	Motor Current[mA]	Motor Voltage[V]	Motor Power[W]	Motor Frequency[Hz]	Friction[Nm]	Calculated Inertia	Calculated Unbalance	Calculated Au Ball[g]	Raw Inertia[Nm]	Raw Unbalance[Nm]	Overload[%]	PU State	MU Warning Code	MU Error Code	MU State	Nr. Red	Program Table Row	Program Table	Program Table State	Motor Temperature	Washing TTE	Washing Phase	Washing Step	Washing Function	Washing Load	Washing Program ID	PU Voltage	Bridge Temperature	Motor Target Speed	Wash Function Elapsed Time[s]	Wash Function Limit Time[s]	Wash Function Agitation/Spin Time	Wash Function Water Level[mm]	Wash Function Target temperature[Cel]	Wash Function Agitation/Spin Profile	Appliance State	Error Manager Status	Wash Program Repeat Number	Wash Program Repeat Pause	ADS Dosed Amount Lifetime	ADS Dose Amount	ADS Dosed Amount	ADS Low Level Alarm Treshold	ADS Dosed Low level	ADS Det Dosed At Low Level	ADS Sof Dosed At Low Level	MWC Load	
'2023-11-14 16:09:30,674	00:00:00	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	/	/	623,24	-10,35	0	0	0	0	29	0	50	0,022303	-0,00175	-0,003471	0,001254	0,006528	0,003015	0	/	0	0	6	/	/	/	/	22	/	/	/	/	/	/	/	25	0	/	/	/	/	/	/	POWER_OFF_STANDBY	/	/	/	/	/	/	/	/	False	True	NaN	
'2023-11-14 16:09:31,673	00:00:00	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	/	/	623,24	-10,35	0	0	0	0	29	0	50	0,022303	-0,00175	-0,003471	0,001254	0,006528	0,003015	0	/	0	0	6	/	/	/	/	22	/	/	/	/	/	/	/	25	0	/	/	/	/	/	/	POWER_OFF_STANDBY	/	/	/	/	/	/	/	/	False	True	NaN	
'2023-11-14 16:09:34,701	00:00:04	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	/	/	623,05	-9,88	0	0	0	0	29	0	50	0,022303	-0,00175	-0,003471	0,001254	0,006528	0,003015	0	0	0	0	6	/	/	/	/	22	/	/	/	/	/	/	/	25	0	/	/	/	/	/	/	POWER_OFF_STANDBY	/	/	/	/	/	/	/	/	False	True	NaN	
'2023-11-14 16:09:36,815	00:00:06	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	/	/	623,05	-9,88	0	0	0	0	29	0	50	0,022303	-0,00175	-0,003471	0,001254	0,006528	0,003015	0	0	0	0	6	/	/	/	/	22	/	/	/	/	/	/	/	25	0	/	/	/	/	/	/	POWER_OFF_STANDBY	/	/	/	/	/	/	/	/	False	True	NaN	
'2023-11-14 16:09:36,935	00:00:06	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	/	/	623,05	-9,88	0	0	0	0	29	0	50	0,022303	-0,00175	-0,003471	0,001254	0,006528	0,003015	0	0	0	0	6	/	/	/	/	22	/	/	/	/	/	/	/	25	0	/	/	/	/	/	/	POWER_OFF_STANDBY	/	/	/	/	/	/	/	/	False	True	NaN	
'2023-11-14 16:09:37,044	00:00:06	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	/	/	623,05	-9,88	0	0	0	0	29	0	50	0,022303	-0,00175	-0,003471	0,001254	0,006528	0,003015	0	0	0	0	6	/	/	/	/	22	/	/	/	/	/	/	/	25	0	/	/	/	/	/	/	POWER_OFF_STANDBY	/	/	/	/	/	/	/	/	False	True	NaN	
'2023-11-14 16:09:39,169	00:00:08	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	/	/	623,05	-9,88	0	0	0	0	29	0	50	0,022303	-0,00175	-0,003471	0,001254	0,006528	0,003015	0	0	0	0	6	/	/	/	/	22	/	/	/	/	/	/	/	25	0	/	/	/	/	/	/	POWER_OFF_STANDBY	/	/	/	/	/	/	/	/	False	True	NaN	
'2023-11-14 16:09:45,297	00:00:14	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	/	/	623,05	-9,88	0	0	0	0	29	0	50	0,022303	-0,00175	-0,003471	0,001254	0,006528	0,003015	0	0	0	0	6	/	/	/	/	22	/	/	/	/	/	/	/	25	0	/	/	/	/	/	/	POWER_OFF_STANDBY	/	/	/	/	/	/	/	/	False	True	NaN	
'2023-11-14 16:09:55,425	00:00:24	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	/	/	623,05	-9,88	0	0	0	0	29	0	50	0,022303	-0,00175	-0,003471	0,001254	0,006528	0,003015	0	0	0	0	6	/	/	/	/	22	/	/	/	/	/	/	/	25	0	/	/	/	/	/	/	POWER_OFF_STANDBY	/	/	/	/	/	/	/	/	False	False	NaN	
'2023-11-14 16:10:03,562	00:00:32	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	/	/	623,05	-9,88	0	0	0	0	29	0	50	0,022303	-0,00175	-0,003471	0,001254	0,006528	0,003015	0	0	0	0	6	/	/	/	/	22	/	/	/	/	/	/	/	25	0	/	/	/	/	/	/	POWER_OFF_STANDBY	/	/	/	/	/	/	/	/	False	False	NaN	
'2023-11-14 16:10:11,693	00:00:41	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	/	/	622,85	-9,38	0	0	0	0	29	0	50	0,022303	-0,00175	-0,003471	0,001254	0,006528	0,003015	0	0	0	0	6	/	/	/	/	22	/	/	/	/	/	/	/	25	0	/	/	/	/	/	/	POWER_OFF_STANDBY	/	/	/	/	/	/	/	/	False	False	NaN	
'2023-11-14 16:10:19,817	00:00:49	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	/	/	623,05	-9,88	0	0	0	0	29	0	50	0,022303	-0,00175	-0,003471	0,001254	0,006528	0,003015	0	0	0	0	6	/	/	/	/	22	/	/	/	/	/	/	/	25	0	/	/	/	/	/	/	POWER_OFF_STANDBY	/	/	/	/	/	/	/	/	False	False	NaN	
'2023-11-14 16:10:23,933	00:00:53	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	/	/	623,05	-9,88	0	0	0	0	29	0	50	0,022303	-0,00175	-0,003471	0,001254	0,006528	0,003015	0	0	0	0	6	/	/	/	/	22	/	/	/	/	/	/	/	25	0	/	/	/	/	/	/	POWER_OFF_STANDBY	/	/	/	/	/	/	/	/	False	False	NaN	
'2023-11-14 16:10:26,052	00:00:55	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	/	/	623,05	-9,88	0	0	0	0	29	0	50	0,022303	-0,00175	-0,003471	0,001254	0,006528	0,003015	0	0	0	0	6	/	/	/	/	22	/	/	/	/	/	/	/	25	0	/	/	/	/	/	/	POWER_OFF_STANDBY	/	/	/	/	/	/	/	/	False	False	NaN	
'2023-11-14 16:10:28,168	00:00:57	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	/	/	623,05	-9,88	0	0	0	0	29	0	50	0,022303	-0,00175	-0,003471	0,001254	0,006528	0,003015	0	0	0	0	6	/	/	/	/	22	/	/	/	/	/	/	/	25	0	/	/	/	/	/	/	POWER_OFF_STANDBY	/	/	/	/	/	/	/	/	False	False	NaN	
'2023-11-14 16:10:28,221	00:00:57	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	/	/	623,05	-9,88	0	0	0	0	29	0	50	0,022303	-0,00175	-0,003471	0,001254	0,006528	0,003015	0	0	0	0	6	/	/	/	/	22	/	/	/	/	/	/	/	25	0	/	/	/	/	/	/	POWER_OFF_STANDBY	/	/	/	/	/	/	/	/	False	False	NaN	
'2023-11-14 16:10:38,376	00:01:07	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	/	/	622,85	-9,38	0	0	0	0	29	0	50	0,022303	-0,00175	-0,003471	0,001254	0,006528	0,003015	0	0	0	0	6	/	/	/	/	22	/	/	/	/	/	/	/	25	0	/	/	/	/	/	/	POWER_OFF_STANDBY	/	/	/	/	/	/	/	/	False	False	NaN	
'2023-11-14 16:10:40,485	00:01:09	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	/	/	622,85	-9,38	0	0	0	0	29	0	50	0,022303	-0,00175	-0,003471	0,001254	0,006528	0,003015	0	0	0	0	6	/	/	/	/	22	/	/	/	/	/	/	/	25	0	/	/	/	/	/	/	POWER_OFF_STANDBY	/	/	/	/	/	/	/	/	False	False	NaN	
'2023-11-14 16:10:40,605	00:01:09	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	/	/	622,85	-9,38	0	0	0	0	29	0	50	0,022303	-0,00175	-0,003471	0,001254	0,006528	0,003015	0	0	0	0	6	/	/	/	/	22	/	/	/	/	/	/	/	25	0	/	/	/	/	/	/	POWER_OFF_STANDBY	/	/	/	/	/	/	/	/	False	False	NaN	
