Time	realtime	AlgorhithmStage	AutoDoserStatus	BaseProgramID	CoinOperator	CommandParameter	CurrentError	DelayedError	DoorLock	DoorRelay	DrumLight	EPS	EPS_Error	EPS_Plausible	EPS_PlausibleU8	ErrorCounter	Exception	FinalRpm	FinalRpm0	ForbiddenRpmH	ForbiddenRpmL	HalfLoad	HandledError	Heater	I1	IFull	Inertia	InertiaAccumulator	InertiaSamples	InitialParameter0	MotorSetPoint	Ionizer	IsSpinFinished	MaxAddTime	MaxRed	MaxRpm	Mode_ID	MotorDriverTemperature	MotorPower	MotorSpeed	MotorState	MotorView	NTC	NTC_Error	NWL	NrRed	NrRepeatSt1	NrStage3	NrStage4	NrStage5	NumAnticrease	Overflow	OverFlowDetection	Peak600	PlannedStage	PumpAir	PumpDrain	PumpRecirculation	RawInertia	RawUblHigh	RawUblHighCompensated	RawUblLow	RawUblLowCompensated	RpmB	RpmC	S11Reduction	SafetyRelay	SkipSkip	SkipSpin	SpinHandlerTimer	SpinProfile	SpinProfileB	SpinSkipFlag	SpinState	SpinTimer	St10Time2	St8Rpm1	St9Rpm1	StandBy	StatusBits	StepCounter	SterilTubeAlert	TargetTemperature	TargetWaterLevel	TemperatureID	TimeProgramSelectedTime	TimeToEnd	UIWakeUp	UblAB	UblC	UblEH	UblEL	UblEM	UblFH	UblFL	UblFM	UblH	UblHigh	UblL	UblLow	UblM	UBL_STABILITY_HIGH	UBL_STABILITY_LOW	UblTestValue	ValveAquaStop	ValveCold1	ValveCold2	ValveCold4	ValveHot	WashPhase	WashTimer	WasherLogicState	WaterLevel	eState	option5	MAT_version	PCU_version	MCU_version	Touch_version	DrumOffset_Hight	DrumOffset_Low	WashStep	X_RMS	Y_RMS	Z_RMS	Machine No.	Reserved1	Reserved2	Reserved3	Reserved4	Created By Gorenje Electronic R&D Department	
2023-07-11 09:37:06.59	0:00:00.605789	0	1	23	0	2	0	0	1	0	0	616	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-27	0	0	0	0	0	0	0	19	0	0	0	0	24.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	430	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	4	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	12	0	0	3.4.4	001.000.024	001.008.010	000.000.006	79	114	31	0	0	0		230	0	8	1	
2023-07-11 09:37:07.59	0:00:01.621175	0	1	23	0	2	0	0	1	0	0	616	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-27	0	0	0	0	0	0	0	19	0	0	0	0	24.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	430	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	4	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	12	0	0	3.4.4	001.000.024	001.008.010	000.000.006	79	114	31	0	0	0		230	0	8	1	
2023-07-11 09:37:08.65	0:00:02.667814	0	1	23	0	2	0	0	1	0	0	616	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-27	0	0	0	0	0	0	0	19	0	0	0	0	24.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	430	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	4	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	12	0	0	3.4.4	001.000.024	001.008.010	000.000.006	79	114	31	0	0	0		230	0	8	1	
2023-07-11 09:37:09.62	0:00:03.636326	0	1	23	0	2	0	0	1	0	0	616	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-27	0	0	0	0	0	0	0	19	0	0	0	0	24.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	430	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	4	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	12	0	0	3.4.4	001.000.024	001.008.010	000.000.006	79	114	31	0	0	0		230	0	8	1	
2023-07-11 09:37:10.66	0:00:04.682953	0	1	23	0	2	0	0	1	0	0	616	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-27	0	0	0	0	0	0	0	19	0	0	0	0	24.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	430	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	4	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	12	0	0	3.4.4	001.000.024	001.008.010	000.000.006	79	114	31	0	0	0		230	0	8	1	
2023-07-11 09:37:11.71	0:00:05.729582	0	1	23	0	2	0	0	1	0	0	616	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-27	0	0	0	0	0	0	0	19	0	0	0	0	24.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	430	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	4	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	12	0	0	3.4.4	001.000.024	001.008.010	000.000.006	79	114	31	0	0	0		230	0	8	1	
2023-07-11 09:37:12.73	0:00:06.744969	0	1	23	0	2	0	0	1	0	0	616	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-27	0	0	0	0	0	0	0	19	0	0	0	0	24.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	430	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	4	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	12	0	0	3.4.4	001.000.024	001.008.010	000.000.006	79	114	31	0	0	0		230	0	8	1	
2023-07-11 09:37:13.79	0:00:07.807216	0	1	23	0	2	0	0	1	0	0	616	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-27	0	0	0	0	0	0	0	19	0	0	0	0	24.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	430	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	4	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	12	0	0	3.4.4	001.000.024	001.008.010	000.000.006	79	114	31	0	0	0		230	0	8	1	
2023-07-11 09:37:14.73	0:00:08.744501	0	1	23	0	2	0	0	1	0	0	616	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-27	0	0	0	0	0	0	0	19	0	0	0	0	24.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	430	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	4	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	12	0	0	3.4.4	001.000.024	001.008.010	000.000.006	79	114	31	0	0	0		230	0	8	1	
2023-07-11 09:37:15.79	0:00:09.806745	0	1	23	0	2	0	0	1	0	0	616	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-27	0	0	0	0	0	0	0	19	0	0	0	0	24.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	430	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	4	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	12	0	0	3.4.4	001.000.024	001.008.010	000.000.006	79	114	31	0	0	0		230	0	8	1	
2023-07-11 09:37:16.76	0:00:10.775266	0	1	23	0	2	0	0	1	0	0	615	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-27	0	0	0	0	0	0	0	19	0	0	0	0	24.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	430	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	4	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	15	0	0	3.4.4	001.000.024	001.008.010	000.000.006	79	114	31	0	0	0		230	0	8	1	
2023-07-11 09:37:17.77	0:00:11.790651	0	1	23	0	2	0	0	1	0	0	615	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-27	0	0	0	0	0	0	0	19	0	0	0	0	24.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	430	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	4	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	15	0	0	3.4.4	001.000.024	001.008.010	000.000.006	79	114	31	0	0	0		230	0	8	1	
2023-07-11 09:37:18.79	0:00:12.806037	0	1	23	0	2	0	0	1	0	0	615	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-27	0	0	0	0	0	0	0	19	0	0	0	0	24.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	430	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	4	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	15	0	0	3.4.4	001.000.024	001.008.010	000.000.006	79	114	31	0	0	0		230	0	8	1	
