Time	realtime	AlgorhithmStage	AutoDoserStatus	BaseProgramID	CoinOperator	CommandParameter	CurrentError	DelayedError	DoorLock	DoorRelay	DrumLight	EPS	EPS_Error	EPS_Plausible	EPS_PlausibleU8	ErrorCounter	Exception	FinalRpm	FinalRpm0	ForbiddenRpmH	ForbiddenRpmL	HalfLoad	HandledError	Heater	I1	IFull	Inertia	InertiaAccumulator	InertiaSamples	InitialParameter0	MotorSetPoint	Ionizer	IsSpinFinished	MaxAddTime	MaxRed	MaxRpm	Mode_ID	MotorDriverTemperature	MotorPower	MotorSpeed	MotorState	MotorView	NTC	NTC_Error	NWL	NrRed	NrRepeatSt1	NrStage3	NrStage4	NrStage5	NumAnticrease	Overflow	OverFlowDetection	Peak600	PlannedStage	PumpAir	PumpDrain	PumpRecirculation	RawInertia	RawUblHigh	RawUblHighCompensated	RawUblLow	RawUblLowCompensated	RpmB	RpmC	S11Reduction	SafetyRelay	SkipSkip	SkipSpin	SpinHandlerTimer	SpinProfile	SpinProfileB	SpinSkipFlag	SpinState	SpinTimer	St10Time2	St8Rpm1	St9Rpm1	StandBy	StatusBits	StepCounter	SterilTubeAlert	TargetTemperature	TargetWaterLevel	TemperatureID	TimeProgramSelectedTime	TimeToEnd	UIWakeUp	UblAB	UblC	UblEH	UblEL	UblEM	UblFH	UblFL	UblFM	UblH	UblHigh	UblL	UblLow	UblM	UBL_STABILITY_HIGH	UBL_STABILITY_LOW	UblTestValue	ValveAquaStop	ValveCold1	ValveCold2	ValveCold4	ValveHot	WashPhase	WashTimer	WasherLogicState	WaterLevel	eState	option5	MAT_version	PCU_version	MCU_version	Touch_version	DrumOffset_Hight	DrumOffset_Low	WashStep	X_RMS	Y_RMS	Z_RMS	Machine No.	LineVoltage	Reserved1	Reserved2	Created By Gorenje Electronic R&D Department	
2023-07-11 16:46:07.06	0:00:00.363028	0	1	29	0	2	0	0	1	0	0	623	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	15	0	0	0	0	34.3	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	1	0	0	0	3	11	0	-5	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		232	1	0	
2023-07-11 16:46:08.07	0:00:01.375321	0	1	29	0	2	0	0	1	0	0	621	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	15	0	0	0	0	34.3	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	1	0	0	0	3	11	0	0	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		230	1	0	
2023-07-11 16:46:09.06	0:00:02.359750	0	1	29	0	2	0	0	1	0	0	621	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	15	0	0	0	0	34.3	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	1	0	0	0	3	11	0	0	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		232	1	0	
2023-07-11 16:46:10.06	0:00:03.360074	0	1	29	0	2	0	0	1	0	0	620	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	15	0	0	0	0	34.3	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	1	0	0	0	3	11	0	2	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		232	1	0	
2023-07-11 16:46:11.07	0:00:04.374364	0	1	29	0	2	0	0	1	0	0	618	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	15	0	0	0	0	34.3	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	1	0	0	0	3	11	0	7	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		232	1	0	
2023-07-11 16:46:12.08	0:00:05.387046	0	1	29	0	2	0	0	1	0	0	616	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	34.3	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	1	0	0	0	3	11	0	12	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		232	1	0	
2023-07-11 16:46:13.09	0:00:06.390363	0	1	29	0	2	0	0	1	0	0	616	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	34.3	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	1	0	0	0	3	11	0	12	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		232	1	0	
2023-07-11 16:46:14.09	0:00:07.399665	0	1	29	0	2	0	0	1	0	0	615	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	34.2	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	1	0	0	0	3	11	0	15	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		232	1	0	
2023-07-11 16:46:15.09	0:00:08.391523	0	1	29	0	2	0	0	1	0	0	612	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	34.2	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	1	0	0	0	3	11	0	22	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		232	1	0	
2023-07-11 16:46:16.08	0:00:09.388858	0	1	29	0	2	0	0	1	0	0	611	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	34.1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	1	0	0	0	3	11	0	25	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		232	1	0	
