Time	realtime	AlgorhithmStage	AutoDoserStatus	BaseProgramID	CoinOperator	CommandParameter	CurrentError	DelayedError	DoorLock	DoorRelay	DrumLight	EPS	EPS_Error	EPS_Plausible	EPS_PlausibleU8	ErrorCounter	Exception	FinalRpm	FinalRpm0	ForbiddenRpmH	ForbiddenRpmL	HalfLoad	HandledError	Heater	I1	IFull	Inertia	InertiaAccumulator	InertiaSamples	InitialParameter0	MotorSetPoint	Ionizer	IsSpinFinished	MaxAddTime	MaxRed	MaxRpm	Mode_ID	MotorDriverTemperature	MotorPower	MotorSpeed	MotorState	MotorView	NTC	NTC_Error	NWL	NrRed	NrRepeatSt1	NrStage3	NrStage4	NrStage5	NumAnticrease	Overflow	OverFlowDetection	Peak600	PlannedStage	PumpAir	PumpDrain	PumpRecirculation	RawInertia	RawUblHigh	RawUblHighCompensated	RawUblLow	RawUblLowCompensated	RpmB	RpmC	S11Reduction	SafetyRelay	SkipSkip	SkipSpin	SpinHandlerTimer	SpinProfile	SpinProfileB	SpinSkipFlag	SpinState	SpinTimer	St10Time2	St8Rpm1	St9Rpm1	StandBy	StatusBits	StepCounter	SterilTubeAlert	TargetTemperature	TargetWaterLevel	TemperatureID	TimeProgramSelectedTime	TimeToEnd	UIWakeUp	UblAB	UblC	UblEH	UblEL	UblEM	UblFH	UblFL	UblFM	UblH	UblHigh	UblL	UblLow	UblM	UBL_STABILITY_HIGH	UBL_STABILITY_LOW	UblTestValue	ValveAquaStop	ValveCold1	ValveCold2	ValveCold4	ValveHot	WashPhase	WashTimer	WasherLogicState	WaterLevel	eState	option5	MAT_version	PCU_version	MCU_version	Touch_version	DrumOffset_Hight	DrumOffset_Low	WashStep	X_RMS	Y_RMS	Z_RMS	Machine No.	Reserved1	Reserved2	Reserved3	Reserved4	Created By Gorenje Electronic R&D Department	
2023-07-03 14:02:04.26	0:00:00.577955	0	1	1	0	2	0	0	1	0	0	626	0	0	0	0	0	1200	1200	1050	1050	0	0	0	2500	1	0	0	0	-27	45	1	0	0	30	1200	0	32	9	0	0	0	27.3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	65535	130	0	180	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	0	6	0	177	0	0	0	800	662	1000	800	462	800	800	92	462	180	800	1	2	0	0	0	0	0	0	3	112	0	-12	1	1	3.4.4	001.000.016	001.008.010	000.000.006	90	132	1	0	0	0		228	0	1	0	
2023-07-03 14:02:05.27	0:00:01.593339	0	1	1	0	2	0	0	1	0	0	626	0	0	0	0	0	1200	1200	1050	1050	0	0	0	2500	1	0	0	0	-27	45	1	0	0	30	1200	0	32	12	21	1	0	27.3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	65535	130	0	180	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	0	6	0	177	0	0	0	800	662	1000	800	462	800	800	92	462	180	800	1	2	0	0	0	0	0	0	3	112	0	-12	1	1	3.4.4	001.000.016	001.008.010	000.000.006	90	132	1	0	0	0		228	0	1	0	
2023-07-03 14:02:06.31	0:00:02.624345	0	1	1	0	2	0	0	1	0	0	625	0	0	0	0	0	1200	1200	1050	1050	0	0	0	2500	1	0	0	0	-27	45	1	0	0	30	1200	0	33	6	21	1	0	27.3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	65535	130	0	180	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	0	6	0	177	0	0	0	800	662	1000	800	462	800	800	92	462	180	800	1	2	0	0	0	0	0	0	3	112	0	-10	1	1	3.4.4	001.000.016	001.008.010	000.000.006	90	132	1	0	0	0		228	0	1	0	
2023-07-03 14:02:07.31	0:00:03.624126	0	1	1	0	2	0	0	1	0	0	625	0	0	0	0	0	1200	1200	1050	1050	0	0	0	2500	1	0	0	0	-27	45	1	0	0	30	1200	0	33	6	39	1	0	27.4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	65535	130	0	180	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	0	6	0	177	0	0	0	800	662	1000	800	462	800	800	92	462	180	800	1	2	0	0	0	0	0	0	3	112	0	-10	1	1	3.4.4	001.000.016	001.008.010	000.000.006	90	132	1	0	0	0		228	0	1	0	
2023-07-03 14:02:08.31	0:00:04.632011	0	1	1	0	2	0	0	1	0	0	625	0	0	0	0	0	1200	1200	1050	1050	0	0	0	2500	1	0	0	0	-27	75	1	0	0	30	1200	0	33	13	43	1	0	27.4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	65535	130	0	180	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	0	6	0	177	0	0	0	800	662	1000	800	462	800	800	92	462	180	800	1	2	0	0	0	0	0	0	3	112	0	-10	1	1	3.4.4	001.000.016	001.008.010	000.000.006	90	132	1	0	0	0		228	0	1	0	
2023-07-03 14:02:09.33	0:00:05.644117	0	1	1	0	2	0	0	1	0	0	626	0	0	0	0	0	1200	1200	1050	1050	0	0	0	2500	1	0	0	0	-27	75	1	0	0	30	1200	0	33	5	52	1	0	27.4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	65535	130	0	180	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	0	6	0	177	0	0	0	800	662	1000	800	462	800	800	92	462	180	800	1	2	0	0	0	0	0	0	3	112	0	-12	1	1	3.4.4	001.000.016	001.008.010	000.000.006	90	132	1	0	0	0		228	0	1	0	
2023-07-03 14:02:10.34	0:00:06.657626	0	1	1	0	2	0	0	1	0	0	626	0	0	0	0	0	1200	1200	1050	1050	0	0	0	2500	1	0	0	0	-27	75	1	0	0	30	1200	0	33	23	52	1	0	27.4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	65535	130	0	180	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	0	6	0	177	0	0	0	800	662	1000	800	462	800	800	92	462	180	800	1	2	0	0	0	0	0	0	3	112	0	-12	1	1	3.4.4	001.000.016	001.008.010	000.000.006	90	132	1	0	0	0		226	0	1	0	
2023-07-03 14:02:11.34	0:00:07.654262	0	1	1	0	2	0	0	1	0	0	626	0	0	0	0	0	1200	1200	1050	1050	0	0	0	2500	1	0	0	0	-27	75	1	0	0	30	1200	0	33	23	65	1	0	27.4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	65535	130	0	180	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	0	6	0	177	0	0	0	800	662	1000	800	462	800	800	92	462	180	800	1	2	0	0	0	0	0	0	3	112	0	-12	1	1	3.4.4	001.000.016	001.008.010	000.000.006	90	132	1	0	0	0		226	0	1	0	
2023-07-03 14:02:12.32	0:00:08.640123	0	1	1	0	2	0	0	1	0	0	626	0	0	0	0	0	1200	1200	1050	1050	0	0	0	2500	1	0	0	0	-27	75	1	0	0	30	1200	0	33	11	73	1	0	27.4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	65535	130	0	180	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	0	6	0	177	0	0	0	800	662	1000	800	462	800	800	92	462	180	800	1	2	0	0	0	0	0	0	3	112	0	-12	1	1	3.4.4	001.000.016	001.008.010	000.000.006	90	132	1	0	0	0		228	0	1	0	
2023-07-03 14:02:13.32	0:00:09.640046	0	1	1	0	2	0	0	1	0	0	626	0	0	0	0	0	1200	1200	1050	1050	0	0	0	2500	1	0	0	0	-27	75	1	0	0	30	1200	0	33	5	73	1	0	27.4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	65535	130	0	180	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	0	6	0	177	0	0	0	800	662	1000	800	462	800	800	92	462	180	800	1	2	0	0	0	0	0	0	3	112	0	-12	1	1	3.4.4	001.000.016	001.008.010	000.000.006	90	132	1	0	0	0		228	0	1	0	
